network_id,output_file,nodes,edges,regions_added,node_file,edge_file,html_file
chapter4_aggregate,outputs/interactive_networks_with_key_regions_labeled_FIXED/chapter4_aggregate_with_key_regions.html,34,35,3,outputs/additional_chapter_networks_no_group_comparison/chapter4_aggregate_nodes_no_group_comparison.csv,outputs/additional_chapter_networks_no_group_comparison/chapter4_aggregate_edges_no_group_comparison.csv,./outputs/additional_chapter_networks_no_group_comparison/chapter4_aggregate_code_network_no_group_comparison.html
chapter5_aggregate,outputs/interactive_networks_with_key_regions_labeled_FIXED/chapter5_aggregate_with_key_regions.html,33,113,4,outputs/additional_chapter_networks_no_group_comparison/chapter5_aggregate_nodes_no_group_comparison.csv,outputs/additional_chapter_networks_no_group_comparison/chapter5_aggregate_edges_no_group_comparison.csv,./outputs/additional_chapter_networks_no_group_comparison/chapter5_aggregate_code_network_no_group_comparison.html
chapter6_aggregate,outputs/interactive_networks_with_key_regions_labeled_FIXED/chapter6_aggregate_with_key_regions.html,33,82,4,outputs/additional_chapter_networks_no_group_comparison/chapter6_aggregate_nodes_no_group_comparison.csv,outputs/additional_chapter_networks_no_group_comparison/chapter6_aggregate_edges_no_group_comparison.csv,./outputs/additional_chapter_networks_no_group_comparison/chapter6_aggregate_code_network_no_group_comparison.html
chapter7_aggregate,outputs/interactive_networks_with_key_regions_labeled_FIXED/chapter7_aggregate_with_key_regions.html,103,333,4,outputs/final_master_aggregate_network_with_interpretive_bridges/final_master_aggregate_nodes.csv,outputs/final_master_aggregate_network_with_interpretive_bridges/final_master_aggregate_edges.csv,outputs/final_master_aggregate_network_with_interpretive_bridges/final_master_aggregate_network_with_three_interpretive_bridges.html
chapter4_comparison,outputs/interactive_networks_with_key_regions_labeled_FIXED/chapter4_comparison_with_key_regions.html,53,59,6,outputs/interactive_within_chapter_group_networks/chapter4_instructors_vs_schoolleaders_interactive_nodes.csv,outputs/interactive_within_chapter_group_networks/chapter4_instructors_vs_schoolleaders_interactive_edges.csv,./outputs/interactive_within_chapter_group_networks/chapter4_instructors_vs_schoolleaders_interactive.html
chapter5_comparison,outputs/interactive_networks_with_key_regions_labeled_FIXED/chapter5_comparison_with_key_regions.html,56,168,8,outputs/interactive_within_chapter_group_networks/chapter5_instructors_vs_schoolleaders_interactive_nodes.csv,outputs/interactive_within_chapter_group_networks/chapter5_instructors_vs_schoolleaders_interactive_edges.csv,./outputs/interactive_within_chapter_group_networks/chapter5_instructors_vs_schoolleaders_interactive.html
chapter6_comparison,outputs/interactive_networks_with_key_regions_labeled_FIXED/chapter6_comparison_with_key_regions.html,59,121,8,outputs/interactive_within_chapter_group_networks/chapter6_male_vs_female_youths_interactive_nodes.csv,outputs/interactive_within_chapter_group_networks/chapter6_male_vs_female_youths_interactive_edges.csv,./outputs/interactive_within_chapter_group_networks/chapter6_male_vs_female_youths_interactive.html
