bridge_id,old_label,new_label,how_joined,specific_relations,title
B1,Concept to practice,Conceptualisation to Operationalisation,"This bridge joins Chapter 4 and Chapter 5 by showing how educator conceptualisation of discipline shapes operationalisation. Chapter 4 identifies discipline as obedience, internalisation, and performativity. Chapter 5 shows those dimensions being operationalised through three uses of control (to influence hearts and minds, to govern the individual body, to tune the group).","The specific relation is from obedience threshold, hierarchy authority, and authority legitimacy intent in Chapter 4 to standard setting, accountability orientation, consequence linkage, and visibility supervision in Chapter 5.","<div style='max-width:520px; white-space:normal; overflow-wrap:anywhere; box-sizing:border-box;'><h2 style='margin-bottom:4px'>Conceptualisation to Operationalisation</h2><div style='display:block;width:100%;box-sizing:border-box;margin:0.18em 0 0.34em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.36);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>How the findings are joined:</b> This bridge joins Chapter 4 and Chapter 5 by showing how educator conceptualisation of discipline shapes operationalisation. Chapter 4 identifies discipline as obedience, internalisation, and performativity. Chapter 5 shows those dimensions being operationalised through three uses of control (to influence hearts and minds, to govern the individual body, to tune the group).</div><div style='display:block;width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Specific relations that join the findings:</b> The specific relation is from obedience threshold, hierarchy authority, and authority legitimacy intent in Chapter 4 to standard setting, accountability orientation, consequence linkage, and visibility supervision in Chapter 5.</div></div>"
B2,Practice to experience,Operationalisation to Experience,"This bridge joins Chapter 5 and Chapter 6 by showing how operationalisation shapes youths' experience and perception of discipline. Chapter 5 shows operationalisation through three uses of control (to influence hearts and minds, to govern the individual body, to tune the group). Chapter 6 shows how youths experience and perceive discipline through breaking, belonging, and becoming.","The specific relation is from bodily regulation, bodily restriction, temporal control, coercive correction, and symbolic coercion in Chapter 5 to bodily harm danger, depletion exhaustion, psychological wounding, humiliation display, and temporal disruption in Chapter 6.","<div style='max-width:520px; white-space:normal; overflow-wrap:anywhere; box-sizing:border-box;'><h2 style='margin-bottom:4px'>Operationalisation to Experience</h2><div style='display:block;width:100%;box-sizing:border-box;margin:0.18em 0 0.34em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.36);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>How the findings are joined:</b> This bridge joins Chapter 5 and Chapter 6 by showing how operationalisation shapes youths' experience and perception of discipline. Chapter 5 shows operationalisation through three uses of control (to influence hearts and minds, to govern the individual body, to tune the group). Chapter 6 shows how youths experience and perceive discipline through breaking, belonging, and becoming.</div><div style='display:block;width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Specific relations that join the findings:</b> The specific relation is from bodily regulation, bodily restriction, temporal control, coercive correction, and symbolic coercion in Chapter 5 to bodily harm danger, depletion exhaustion, psychological wounding, humiliation display, and temporal disruption in Chapter 6.</div></div>"
B3,Formation and re-reading,Experience to Conceptualisation,"This bridge joins Chapter 4 and Chapter 6 by showing youths' experience and perception tests the adequacy of conceptualisation. For example, Chapter 4 frames discipline as something that should persist even when no one is looking. But Chapter 6 shows that some youths were thinking through why they were changing, whether they wanted to change, and who or what the change was for. They were figuring it out as they went; sometimes accepting, sometimes resisting, sometimes unsure.","The specific relation is from self-regulation autonomy, repetition habit memory, trust credibility, values character carrier, and widened life governance in Chapter 4 to routine internalisation, respect recognition, positive transformation, reframing as training, and principle purpose orientation in Chapter 6.","<div style='max-width:520px; white-space:normal; overflow-wrap:anywhere; box-sizing:border-box;'><h2 style='margin-bottom:4px'>Experience to Conceptualisation</h2><div style='display:block;width:100%;box-sizing:border-box;margin:0.18em 0 0.34em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.36);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>How the findings are joined:</b> This bridge joins Chapter 4 and Chapter 6 by showing youths' experience and perception tests the adequacy of conceptualisation. For example, Chapter 4 frames discipline as something that should persist even when no one is looking. But Chapter 6 shows that some youths were thinking through why they were changing, whether they wanted to change, and who or what the change was for. They were figuring it out as they went; sometimes accepting, sometimes resisting, sometimes unsure.</div><div style='display:block;width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Specific relations that join the findings:</b> The specific relation is from self-regulation autonomy, repetition habit memory, trust credibility, values character carrier, and widened life governance in Chapter 4 to routine internalisation, respect recognition, positive transformation, reframing as training, and principle purpose orientation in Chapter 6.</div></div>"
