from,to,value,width,color,smooth,title
authority_legitimacy_intent,authority_maintenance,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
authority_legitimacy_intent,hierarchy_authority,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
authority_legitimacy_intent,trust_credibility,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
authority_maintenance,hierarchy_authority,3,1.7320508075688772,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
authority_maintenance,trust_credibility,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
breach_correction,obedience_threshold,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
breach_correction,punishment_enforcement,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
breach_correction,rule_order_tacit_norms,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
conformity_without_assent,context_observation_variability,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
conformity_without_assent,moral_neutral_discipline,2,1.4142135623730951,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
consequence_managed_compliance,surveillance_visibility,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
consequence_managed_compliance,visible_signs_legibility,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
