from,to,value,width,color,smooth,title
alternative_oppositional_future,discipline_boundary_judgement,2,1.4142135623730951,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
alternative_oppositional_future,identity_continuity_resistance,2,1.4142135623730951,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
alternative_oppositional_future,kin_motivation,2,1.4142135623730951,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
ambivalent_unresolved_change,dangerous_becoming,2,1.4142135623730951,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
ambivalent_unresolved_change,endurance_conditioning,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
ambivalent_unresolved_change,peer_care_solidarity,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
ambivalent_unresolved_change,positive_transformation,3,1.7320508075688772,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
ambivalent_unresolved_change,psychological_wounding,2,1.4142135623730951,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
ambivalent_unresolved_change,racialised_degradation,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
ambivalent_unresolved_change,respect_recognition,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
ambivalent_unresolved_change,temporal_disruption,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
authority_disregard,bodily_harm_danger,2,1.4142135623730951,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
authority_disregard,psychological_wounding,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
authority_disregard,silencing_nonresponse,3,1.7320508075688772,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
authority_disregard,verbal_degradation,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
bodily_harm_danger,discipline_boundary_judgement,3,1.7320508075688772,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
bodily_harm_danger,peer_care_solidarity,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
bodily_harm_danger,peer_mistrust_betrayal,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
bodily_harm_danger,psychological_wounding,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
bodily_harm_danger,self_protection_boundary,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
dangerous_becoming,group_pride_validation,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
dangerous_becoming,identity_continuity_resistance,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
dangerous_becoming,kin_motivation,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
dangerous_becoming,principle_purpose_orientation,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
dangerous_becoming,psychological_wounding,3,1.7320508075688772,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
depletion_exhaustion,temporal_disruption,2,1.4142135623730951,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
discipline_boundary_judgement,humiliation_display,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
discipline_boundary_judgement,identity_continuity_resistance,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
discipline_boundary_judgement,principle_purpose_orientation,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
discipline_boundary_judgement,respect_recognition,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
discipline_boundary_judgement,silencing_nonresponse,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
endurance_conditioning,hope_resilience,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
endurance_conditioning,peer_care_solidarity,2,1.4142135623730951,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
endurance_conditioning,principle_purpose_orientation,3,1.7320508075688772,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
endurance_conditioning,reframing_as_training,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
endurance_conditioning,routine_internalisation,4,2,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
endurance_conditioning,temporal_disruption,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
exclusion_isolation,psychological_wounding,3,1.7320508075688772,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
family_separation_priority,identity_continuity_resistance,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
family_separation_priority,psychological_wounding,2,1.4142135623730951,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
family_separation_priority,structural_powerlessness,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
group_fragmentation,peer_mistrust_betrayal,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
group_pride_validation,positive_transformation,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
hope_resilience,peer_care_solidarity,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
hope_resilience,positive_transformation,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
hope_resilience,principle_purpose_orientation,3,1.7320508075688772,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
hope_resilience,psychological_wounding,2,1.4142135623730951,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
hope_resilience,racialised_degradation,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
hope_resilience,silencing_nonresponse,1,1,"rgba(40,40,40,0.45)",FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.
