chapter_id,chapter_label,input_html,output_html,node_count,edge_count,definitions_present,file_exists
chapter4,Chapter 4,./outputs/interactive_within_chapter_group_networks/chapter4_instructors_vs_schoolleaders_interactive.html,outputs/additional_chapter_networks_no_group_comparison/chapter4_aggregate_code_network_no_group_comparison.html,34,35,34,TRUE
chapter5,Chapter 5,./outputs/interactive_within_chapter_group_networks/chapter5_instructors_vs_schoolleaders_interactive.html,outputs/additional_chapter_networks_no_group_comparison/chapter5_aggregate_code_network_no_group_comparison.html,33,113,33,TRUE
chapter6,Chapter 6,./outputs/interactive_within_chapter_group_networks/chapter6_male_vs_female_youths_interactive.html,outputs/additional_chapter_networks_no_group_comparison/chapter6_aggregate_code_network_no_group_comparison.html,33,82,33,TRUE
