from,to,weight,edge_type,title,bridge_route
Chapter 5::visibility_supervision,Chapter 5::bodily_proof,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::consequence_linkage,Chapter 5::bodily_restriction,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::explanatory_reasoning,Chapter 5::bodily_restriction,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::visibility_supervision,Chapter 5::bodily_restriction,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::bodily_proof,Chapter 5::bodily_restriction,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::explanatory_reasoning,Chapter 5::coercive_correction,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::habit_interruption,Chapter 5::coercive_correction,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::bodily_regulation,Chapter 5::coercive_correction,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::embodied_standardisation,Chapter 5::coercive_correction,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::bodily_restriction,Chapter 5::coercive_correction,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::habit_repetition,Chapter 5::durability_testing,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::persistence_beyond_training,Chapter 5::durability_testing,4,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 4</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::bodily_regulation,Chapter 5::durability_testing,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::temporal_control,Chapter 5::durability_testing,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::embodied_standardisation,Chapter 5::durability_testing,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::bodily_sign_reading,Chapter 5::durability_testing,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::accountability_orientation,Chapter 5::collective_accountability,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::consequence_linkage,Chapter 5::collective_accountability,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::visibility_supervision,Chapter 5::collective_accountability,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::consequence_linkage,Chapter 5::lateral_surveillance,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::collective_accountability,Chapter 5::lateral_surveillance,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::consequence_linkage,Chapter 5::peer_correction,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::collective_accountability,Chapter 5::peer_correction,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::lateral_surveillance,Chapter 5::peer_correction,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::standard_setting,Chapter 5::reciprocal_obligation,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::accountability_orientation,Chapter 5::reciprocal_obligation,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::habit_repetition,Chapter 5::reciprocal_obligation,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::visibility_supervision,Chapter 5::reciprocal_obligation,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::competitive_pressure,Chapter 5::factionalisation_risk,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::relational_influence,Chapter 5::unstable_group_cohesion,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::motivational_activation,Chapter 5::unstable_group_cohesion,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::equal_standard_enforcement,Chapter 5::unstable_group_cohesion,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::competitive_pressure,Chapter 5::unstable_group_cohesion,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::factionalisation_risk,Chapter 5::unstable_group_cohesion,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::equal_standard_enforcement,Chapter 5::group_standard_imposition,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::competitive_pressure,Chapter 5::group_standard_imposition,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::factionalisation_risk,Chapter 5::group_standard_imposition,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::unstable_group_cohesion,Chapter 5::group_standard_imposition,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::consequence_linkage,Chapter 5::ritualised_unity,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::psychological_uncertainty,Chapter 5::ritualised_unity,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::explanatory_reasoning,Chapter 5::ritualised_unity,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::motivational_activation,Chapter 5::ritualised_unity,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::bodily_regulation,Chapter 5::ritualised_unity,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::embodied_standardisation,Chapter 5::ritualised_unity,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::visibility_supervision,Chapter 5::ritualised_unity,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::bodily_proof,Chapter 5::ritualised_unity,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::standard_setting,Chapter 5::symbolic_cohesion,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::consequence_linkage,Chapter 5::symbolic_cohesion,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::explanatory_reasoning,Chapter 5::symbolic_cohesion,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::motivational_activation,Chapter 5::symbolic_cohesion,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::bodily_regulation,Chapter 5::symbolic_cohesion,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::visibility_supervision,Chapter 5::symbolic_cohesion,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::ritualised_unity,Chapter 5::symbolic_cohesion,4,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 4</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::discipline_boundary_judgement,Chapter 6::bodily_harm_danger,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::psychological_wounding,Chapter 6::verbal_degradation,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::psychological_wounding,Chapter 6::racialised_degradation,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::psychological_wounding,Chapter 6::family_separation_priority,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::respect_recognition,Chapter 6::learning_support,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::psychological_wounding,Chapter 6::exclusion_isolation,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::bodily_harm_danger,Chapter 6::authority_disregard,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::silencing_nonresponse,Chapter 6::authority_disregard,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::needed_responsibility,Chapter 6::structural_powerlessness,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::depletion_exhaustion,Chapter 6::temporal_disruption,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::peer_care_solidarity,Chapter 6::endurance_conditioning,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::routine_internalisation,Chapter 6::endurance_conditioning,4,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 4</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::needed_responsibility,Chapter 6::practical_competence,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::routine_internalisation,Chapter 6::positive_transformation,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::reframing_as_training,Chapter 6::positive_transformation,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::psychological_wounding,Chapter 6::ambivalent_unresolved_change,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::positive_transformation,Chapter 6::ambivalent_unresolved_change,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::psychological_wounding,Chapter 6::dangerous_becoming,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::ambivalent_unresolved_change,Chapter 6::dangerous_becoming,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::psychological_wounding,Chapter 6::identity_continuity_resistance,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::positive_transformation,Chapter 6::kin_motivation,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::temporal_disruption,Chapter 6::principle_purpose_orientation,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::endurance_conditioning,Chapter 6::principle_purpose_orientation,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::positive_transformation,Chapter 6::principle_purpose_orientation,6,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 6</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::identity_continuity_resistance,Chapter 6::principle_purpose_orientation,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::kin_motivation,Chapter 6::principle_purpose_orientation,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::discipline_boundary_judgement,Chapter 6::alternative_oppositional_future,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::identity_continuity_resistance,Chapter 6::alternative_oppositional_future,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::kin_motivation,Chapter 6::alternative_oppositional_future,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::psychological_wounding,Chapter 6::hope_resilience,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 6::principle_purpose_orientation,Chapter 6::hope_resilience,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 6</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 4::hierarchy_authority,Chapter 5::unstable_group_cohesion,0.9,Cross-chapter bridge,<div style='max-width:460px'><h3>Cross-chapter interpretive bridge</h3><p><b>Route:</b><br>Chapter 4 / Obedience → Chapter 5 / Group</p><p><b>From code:</b> hierarchy authority<br><b>To code:</b> unstable group cohesion</p><p><i>This dashed edge is an interpretive bridge used for Chapter 7 synthesis. It is not a direct empirical co-occurrence across datasets.</i></p></div>,Chapter 4 Obedience → Chapter 5 Group
Chapter 4::hierarchy_authority,Chapter 5::collective_accountability,0.9,Cross-chapter bridge,<div style='max-width:460px'><h3>Cross-chapter interpretive bridge</h3><p><b>Route:</b><br>Chapter 4 / Obedience → Chapter 5 / Group</p><p><b>From code:</b> hierarchy authority<br><b>To code:</b> collective accountability</p><p><i>This dashed edge is an interpretive bridge used for Chapter 7 synthesis. It is not a direct empirical co-occurrence across datasets.</i></p></div>,Chapter 4 Obedience → Chapter 5 Group
Chapter 4::hierarchy_authority,Chapter 5::group_standard_imposition,0.9,Cross-chapter bridge,<div style='max-width:460px'><h3>Cross-chapter interpretive bridge</h3><p><b>Route:</b><br>Chapter 4 / Obedience → Chapter 5 / Group</p><p><b>From code:</b> hierarchy authority<br><b>To code:</b> group standard imposition</p><p><i>This dashed edge is an interpretive bridge used for Chapter 7 synthesis. It is not a direct empirical co-occurrence across datasets.</i></p></div>,Chapter 4 Obedience → Chapter 5 Group
Chapter 4::authority_maintenance,Chapter 5::unstable_group_cohesion,0.9,Cross-chapter bridge,<div style='max-width:460px'><h3>Cross-chapter interpretive bridge</h3><p><b>Route:</b><br>Chapter 4 / Obedience → Chapter 5 / Group</p><p><b>From code:</b> authority maintenance<br><b>To code:</b> unstable group cohesion</p><p><i>This dashed edge is an interpretive bridge used for Chapter 7 synthesis. It is not a direct empirical co-occurrence across datasets.</i></p></div>,Chapter 4 Obedience → Chapter 5 Group
Chapter 4::authority_maintenance,Chapter 5::collective_accountability,0.9,Cross-chapter bridge,<div style='max-width:460px'><h3>Cross-chapter interpretive bridge</h3><p><b>Route:</b><br>Chapter 4 / Obedience → Chapter 5 / Group</p><p><b>From code:</b> authority maintenance<br><b>To code:</b> collective accountability</p><p><i>This dashed edge is an interpretive bridge used for Chapter 7 synthesis. It is not a direct empirical co-occurrence across datasets.</i></p></div>,Chapter 4 Obedience → Chapter 5 Group
Chapter 4::authority_maintenance,Chapter 5::group_standard_imposition,0.9,Cross-chapter bridge,<div style='max-width:460px'><h3>Cross-chapter interpretive bridge</h3><p><b>Route:</b><br>Chapter 4 / Obedience → Chapter 5 / Group</p><p><b>From code:</b> authority maintenance<br><b>To code:</b> group standard imposition</p><p><i>This dashed edge is an interpretive bridge used for Chapter 7 synthesis. It is not a direct empirical co-occurrence across datasets.</i></p></div>,Chapter 4 Obedience → Chapter 5 Group
Chapter 4::trust_credibility,Chapter 5::unstable_group_cohesion,0.9,Cross-chapter bridge,<div style='max-width:460px'><h3>Cross-chapter interpretive bridge</h3><p><b>Route:</b><br>Chapter 4 / Obedience → Chapter 5 / Group</p><p><b>From code:</b> trust credibility<br><b>To code:</b> unstable group cohesion</p><p><i>This dashed edge is an interpretive bridge used for Chapter 7 synthesis. It is not a direct empirical co-occurrence across datasets.</i></p></div>,Chapter 4 Obedience → Chapter 5 Group
