bridge_id,from_chapter,from_candidates,to_chapter,to_candidates,label,how_joined,specific_relations,from_node_used,to_node_used
B1,chapter4,NA,chapter5,NA,Conceptualisation to Operationalisation,"This bridge joins Chapter 4 and Chapter 5 by showing how educator conceptualisation of discipline shapes operationalisation. Chapter 4 identifies discipline as obedience, internalisation, and performativity. Chapter 5 shows those dimensions being operationalised through three uses of control (to influence hearts and minds, to govern the individual body, to tune the group).","The specific relation is from obedience threshold, hierarchy authority, and authority legitimacy intent in Chapter 4 to standard setting, accountability orientation, consequence linkage, and visibility supervision in Chapter 5.",chapter4::obedience_threshold,chapter5::standard_setting
B2,chapter5,NA,chapter6,NA,Operationalisation to Experience,"This bridge joins Chapter 5 and Chapter 6 by showing how operationalisation shapes youths' experience and perception of discipline. Chapter 5 shows operationalisation through three uses of control (to influence hearts and minds, to govern the individual body, to tune the group). Chapter 6 shows how youths experience and perceive discipline through breaking, belonging, and becoming.","The specific relation is from bodily regulation, bodily restriction, temporal control, coercive correction, and symbolic coercion in Chapter 5 to bodily harm danger, depletion exhaustion, psychological wounding, humiliation display, and temporal disruption in Chapter 6.",chapter5::bodily_restriction,chapter6::bodily_harm_danger
B3,chapter4,NA,chapter6,NA,Experience to Conceptualisation,"This bridge joins Chapter 4 and Chapter 6 by showing youths' experience and perception tests the adequacy of conceptualisation. For example, Chapter 4 frames discipline as something that should persist even when no one is looking. But Chapter 6 shows that some youths were thinking through why they were changing, whether they wanted to change, and who or what the change was for. They were figuring it out as they went; sometimes accepting, sometimes resisting, sometimes unsure.","The specific relation is from self-regulation autonomy, repetition habit memory, trust credibility, values character carrier, and widened life governance in Chapter 4 to routine internalisation, respect recognition, positive transformation, reframing as training, and principle purpose orientation in Chapter 6.",chapter4::self_regulation_autonomy,chapter6::routine_internalisation
