from,to,weight,edge_type,title
Chapter 6::Male youths::racialised_degradation,Chapter 6::Male youths::temporal_disruption,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::peer_care_solidarity,Chapter 6::Male youths::temporal_disruption,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::peer_care_solidarity,Chapter 6::Male youths::endurance_conditioning,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::routine_internalisation,Chapter 6::Male youths::endurance_conditioning,4,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 4</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::needed_responsibility,Chapter 6::Male youths::practical_competence,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::reframing_as_training,Chapter 6::Male youths::practical_competence,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::group_pride_validation,Chapter 6::Male youths::positive_transformation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::practical_competence,Chapter 6::Male youths::positive_transformation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::racialised_degradation,Chapter 6::Male youths::ambivalent_unresolved_change,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::temporal_disruption,Chapter 6::Male youths::ambivalent_unresolved_change,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::endurance_conditioning,Chapter 6::Male youths::ambivalent_unresolved_change,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::positive_transformation,Chapter 6::Male youths::ambivalent_unresolved_change,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::psychological_wounding,Chapter 6::Male youths::dangerous_becoming,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::group_pride_validation,Chapter 6::Male youths::dangerous_becoming,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::discipline_boundary_judgement,Chapter 6::Male youths::identity_continuity_resistance,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::psychological_wounding,Chapter 6::Male youths::identity_continuity_resistance,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::family_separation_priority,Chapter 6::Male youths::identity_continuity_resistance,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::dangerous_becoming,Chapter 6::Male youths::identity_continuity_resistance,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::needed_responsibility,Chapter 6::Male youths::kin_motivation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::temporal_disruption,Chapter 6::Male youths::kin_motivation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::positive_transformation,Chapter 6::Male youths::kin_motivation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::dangerous_becoming,Chapter 6::Male youths::kin_motivation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
